title,company,location,date_posted,description,salary,url
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
Junior Data Analyst Position,Yowza Consulting,Remote,N/A,"Dear Jobseekers ,
We are looking for a Junior Data Analyst with 1.5–3 years of experience to support our digital marketing and business teams through data extraction, analysis, and reporting. The role requires strong skills in Python, SQL, Power BI, and Excel, with hands-on experience in platforms like Google Analytics and Facebook Ads Manager.
Key Responsibilities:
Extract and analyze data from
Google Analytics, Facebook Ads Manager, and CRM systems
.
Prepare reports and dashboards using
Power BI
and
Excel (VLOOKUP, Pivot, etc.)
.
Write and optimize
SQL queries
for data extraction.
Use
Python
for automation and advanced analytics.
Provide insights to support digital marketing performance and business decisions.
Requirements:
Proficiency in
Python, Power BI, SQL, and Excel
.
Experience with
digital marketing platforms
and CRM tools.
Strong analytical mindset with attention to detail.
Flexibility to work on diverse tasks as required.
Job Type: Full-time
Benefits:
Work from home
Experience:
Data Analyst: 1 year (Required)
vlookup: 1 year (Required)
Pivot tables: 1 year (Required)
Microsoft Excel: 1 year (Required)
Power BI: 1 year (Required)
DATA extraction: 1 year (Required)
reports: 1 year (Required)
Work Location: Remote",Not specified,https://in.indeed.com/jobs?q=data+analyst&l=remote
